Ano de nascimento;Tipo sanguíneo;Altura;Peso;Aparicoes;link;de nascimento
1962 (55 anos em 2014);Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 7 (2017)', 'Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/jack-baker/;
Desconhecido.;Desconhecido.;Desconhecido.;Desconhecido.;['Biohazard / Resident Evil 4 (2005)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard / Resident Evil: The Mercenaries 3D (2011)', 'Biohazard RE:4 / Resident Evil 4 (2023)'];https://www.residentevildatabase.com/jack-krauser/;
Desconhecido.;Desconhecido.;Desconhecido.;Desconhecido.;['Biohazard / Resident Evil: Revelations (2012)'];https://www.residentevildatabase.com/jack-norman/;
1992 (20 anos em 2012);Desconhecido.;1,90m;80kg;['Biohazard / Resident Evil 6 (2012)'];https://www.residentevildatabase.com/jake-muller/;
1918 (não confirmado).;A;1,80m;68,5kg;['Biohazard / Resident Evil 0 (2003)', 'Biohazard / Resident Evil: The Umbrella Chronicles (2007)'];https://www.residentevildatabase.com/james-marcus/;
Desconhecido.;Desconhecido.; Desconhecido.;Desconhecido.;['BIOHAZARD\xa0/\xa0RESIDENT EVIL: Infinite Darkness (2021)'];https://www.residentevildatabase.com/jason-maddogs/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: The Darkside Chronicles (2009)'];https://www.residentevildatabase.com/javier-hidalgo/;
Desconhecido.; Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: Damnation (2012)'];https://www.residentevildatabase.com/jd-damnation/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: Revelations (2012)'];https://www.residentevildatabase.com/jessica-sherawat/;
desconhecido.;desconhecido.;desconhecido.;desconhecido.;['Biohazard / Resident Evil (2002)'];https://www.residentevildatabase.com/jessica-trevor/;
1974;B;1,72m;56kg;['Biohazard / Resident Evil Clássico (1996)', 'Biohazard 3: Last Escape / Resident Evil 3: Nemesis (1999)', 'Biohazard / Resident Evil Remake (2002)', 'Biohazard / Resident Evil: Deadly Silence (2006)', 'Biohazard / Resident Evil: The Umbrella Chronicles (2007)', 'Biohazard / Resident Evil 5 (2009)', 'Biohazard / Resident Evil: The Mercenaries 3D (2011)', 'Biohazard / Resident Evil: Revelations (2012)', 'Biohazard / Resident Evil: Operation Raccoon City (2012)', 'Biohazard RE:3 / Resident Evil 3 (2020)', 'Biohazard / Resident Evil: Death Island (2023)'];https://www.residentevildatabase.com/jill-valentine/;
1974 (24 anos em 1998);Desconhecido.;1,76m;70kg;['Biohazard / Resident Evil Outbreak (2003)', 'Biohazard / Resident Evil Outbreak File #2 (2004)'];https://www.residentevildatabase.com/jim-chapman/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;[];https://www.residentevildatabase.com/joe-baker/;
"Desconhecido
Tipo sanguíneo";;;;['Biohazard / Resident Evil Clássico (1996)', 'Biohazard / Resident Evil 2 (1998)', 'Biohazard / Resident Evil Remake (2002)'];https://www.residentevildatabase.com/john/;
1971 (não confirmado);B;1,79cm;72,3kg;['Biohazard / Resident Evil Clássico (1996)', 'Biohazard / Resident Evil Remake (2002)', 'Biohazard / Resident Evil 0 (2003)', 'Biohazard / Resident Evil: Deadly Silence (2006)'];https://www.residentevildatabase.com/joseph-frost/;
1974 (não confirmado);Desconhecido.;1,85cm;93kg;['Biohazard / Resident Evil 5 (2009)'];https://www.residentevildatabase.com/josh-stone/;
Desconhecido.;Desconhecido.; Desconhecido.;Desconhecido.;['Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/karl-heisenberg/;
1976 (22 anos em 1998);Desconhecido.; 1,60m; 50kg;['Biohazard / Resident Evil 2 (1998)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard RE:2 / Resident Evil 2 (2019)'];https://www.residentevildatabase.com/katherine-warren/;
Desconhecido.;Desconhecido.;Desconhecido.;Desconhecido.;['Biohazard / Resident Evil: Revelations (2012)'];https://www.residentevildatabase.com/keith-lumley/;
1953 (não confirmado);O;1,88cm;96,8kg;[];https://www.residentevildatabase.com/kenneth-j-sullivan/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Remake (2002)', 'Biohazard / Resident Evil 0 (2003)'];https://www.residentevildatabase.com/kevin-dooley/;
1967 (31 anos em 1998);Desconhecido.;1,82m;89kg;[];https://www.residentevildatabase.com/kevin-ryman/;
1981 (não confirmado).;Desconhecido.;1,79cm;80kg;['Biohazard / Resident Evil: Revelations (2012)', 'Biohazard / Resident Evil 5 (2009)'];https://www.residentevildatabase.com/kirk-mathison/;
;A;"1,78cm (em jogos antigos); 1,80cm (em RE4)";"70,2kg (em jogos antigos); desconhecido (em RE4)";['Biohazard / Resident Evil 2 (1998)', 'Biohazard / Resident Evil Gaiden (2002)', 'Biohazard / Resident Evil 4 (2005)', 'Biohazard / Resident Evil: Degeneration (2008)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard / Resident Evil: Operation Raccoon City (2012)', 'Biohazard / Resident Evil: Damnation (2012)', 'Biohazard / Resident Evil 6 (2012)', 'Biohazard / Resident Evil: Vendetta (2017)', 'Biohazard RE:2 / Resident Evil 2 (2019)', 'BIOHAZARD / RESIDENT EVIL:\xa0Infinite Darkness\xa0(2021)', 'Biohazard RE:4 / Resident Evil 4 (2023)', 'Biohazard / Resident Evil: Death Island (2023)'];https://www.residentevildatabase.com/leon-s-kennedy/;1977 (não confirmado)
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard Gun Survivor / Resident Evil Survivor (2000)'];https://www.residentevildatabase.com/lily-klein/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil (2002)', 'Biohazard / Resident Evil: The Umbrella Chronicles (2007)'];https://www.residentevildatabase.com/lisa-trevor/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard Gun Survivor / Resident Evil Survivor (2000)'];https://www.residentevildatabase.com/lott-klein/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 7 (2017)'];https://www.residentevildatabase.com/lucas-baker/;
1976 (não confirmado);Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 4 (2005)', 'Biohazard RE:4 / Resident Evil 4 (2023)'];https://www.residentevildatabase.com/luis-serra/;
1960 (não confirmado);AB;desconhecida.;desconhecido.;['Biohazard / Resident Evil: Operation Raccoon City (2012)'];https://www.residentevildatabase.com/lupo-karena-lesproux/;
Desconhecido.;Desconhecido.; Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/mae-miranda/;
1986 (não confirmado);Desconhecido.;Desconhecida.;Desconhecido.;[];https://www.residentevildatabase.com/manuela-hidalgo/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 7 (2017)'];https://www.residentevildatabase.com/marguerite-baker/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Vendetta (2017)', 'Biohazard / Resident Evil: Death Island (2023)'];https://www.residentevildatabase.com/maria-gomez/;
1946 (52 anos em 1998);Desconhecido.;1,85m;101kg;[];https://www.residentevildatabase.com/mark-wilkins/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 2 (1998)', 'Biohazard / Resident Evil Outbreak File #2 (2004)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard RE:2 / Resident Evil 2 (2019)'];https://www.residentevildatabase.com/marvin-branagh/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 7 (2017)', 'Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/mia-winters/;
"Desconhecido
Tipo sanguíneo";;;;['Biohazard 3: Last Escape / Resident Evil 3: Nemesis (1999)'];https://www.residentevildatabase.com/michael-warren/;
1953 (não confirmado).;A;1,78m;98kg;['Biohazard 3: Last Escape / Resident Evil 3: Nemesis (1999)', 'Biohazard RE:3 / Resident Evil 3 (2020)'];https://www.residentevildatabase.com/mikhail-victor/;
1991 (não confirmado).;Desconhecido.;1,65m;50,7kg;['Biohazard / Resident Evil (1996) (menção em file)', 'Biohazard / Resident Evil (2002) (menção em file)', 'Biohazard / Resident Evil Revelations 2 (2015)'];https://www.residentevildatabase.com/moira-burton/;
Desconhecido.;Desconhecido.;Desconhecido.;Desconhecido.;['Biohazard / Resident Evil: Revelations (2012)', 'Biohazard / Resident Evil: Revelations 2 (2015)'];https://www.residentevildatabase.com/morgan-lansdale/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard Gun Survivor 4: Heroes Never Die / Resident Evil Dead Aim (2003)'];https://www.residentevildatabase.com/morpheus-d-duvall/;
1971 (não confirmado);B;1,91m;82kg;['Biohazard 3: Last Escape / Resident Evil 3: Nemesis (1999)', 'Biohazard RE:3 / Resident Evil 3 (2020)'];https://www.residentevildatabase.com/murphy-seeker/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Vendetta (2017)'];https://www.residentevildatabase.com/nadia-bsaa/;
2001 (10 anos em 2011).;Desconhecido.;1,37m;32kg;['Biohazard / Resident Evil Revelations 2 (2015)'];https://www.residentevildatabase.com/natalia-korda/;
1972 (39 anos em 2011);Desconhecido.;1,80m;70kg;['Biohazard / Resident Evil Revelations 2 (2015)'];https://www.residentevildatabase.com/neil-fisher/;
1963 (não confirmado);A;1,87cm;102kg;['Biohazard 3: Last Escape / Resident Evil 3: Nemesis (1999)', 'Biohazard / Resident Evil: Outbreak (2003)', 'Biohazard / Resident Evil: Operation Raccoon City (2012)', 'Biohazard RE:3 / Resident Evil 3 (2020)', 'Biohazard / Resident Evil Resistance (2020)'];https://www.residentevildatabase.com/nicholai-ginovaef/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 4 (2005)', 'Biohazard RE:4 / Resident Evil 4 (2023)'];https://www.residentevildatabase.com/osmund-saddler/;
1931 (não confirmado);Desconhecido.;1,79cm;65kg;['Biohazard / Resident Evil 0 (2002)', 'Biohazard / Resident Evil Remake (2002)', 'Biohazard / Resident Evil: The Umbrella Chronicles (2007)', 'Biohazard / Resident Evil 5 (2009)', 'Biohazard / Resident Evil Revelations 2 (2015)', 'Biohazard / Resident Evil Resistance (2020)', 'Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/ozwell-e-spencer/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: Revelations (2012)', 'Mangá: Biohazard / Resident Evil Heavenly Island (2015)'];https://www.residentevildatabase.com/parker-luciani/;
desconhecido.;desconhecido.;desconhecida.;desconhecido.;['Biohazard / Resident Evil: Operation Raccoon City (2012)'];https://www.residentevildatabase.com/party-girl-sienna-fowler/;
1984 (não confirmado).;Desconhecido.;1,72m;66kg;['Biohazard / Resident Evil Revelations 2 (2015)'];https://www.residentevildatabase.com/pedro-fernandez/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 7 (2017)'];https://www.residentevildatabase.com/peter-walken/;
1986 (26 anos em 2012).;A;1,78m;67kg;['Biohazard / Resident Evil 6 (2012)', 'Mangá: Biohazard / Resident Evil Marhawa Desire (2012)', 'Peça Teatral: Biohazard The Stage (2015)'];https://www.residentevildatabase.com/piers-nivans/;
Desconhecido.;Desconhecido.;Desconhecido.;Desconhecido.;['Biohazard / Resident Evil: Revelations (2012)'];https://www.residentevildatabase.com/quint-cetcham/;
desconhecido.;desconhecido.;desconhecida.;desconhecido.;['Biohazard / Resident Evil: Revelations (2012)'];https://www.residentevildatabase.com/rachael-foley/;
1984 (não confirmado);Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 4 (2005)', 'Biohazard RE:4 / Resident Evil 4 (2023)'];https://www.residentevildatabase.com/ramon-salazar/;
1997 (7 anos em 2005);Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: Degeneration (2008)'];https://www.residentevildatabase.com/rani-chawla/;
Desconhecido.;Desconhecido.;Desconhecido.;Desconhecido.;['Biohazard / Resident Evil: Revelations (2012)'];https://www.residentevildatabase.com/raymond-vester/;
1980 (não confirmado);AB;1,61cm;41,1kg;['Biohazard / Resident Evil Clássico (1996)', 'Biohazard / Resident Evil Remake (2002)', 'Biohazard / Resident Evil 0 (2003)', 'Biohazard / Resident Evil: Deadly Silence (2006)', 'Biohazard / Resident Evil: The Umbrella Chronicles (2007)', 'Biohazard / Resident Evil 5, The Mercenaries Reunion (2009)', 'Biohazard / Resident Evil: The Mercenaries 3D (2011)', 'Peça Teatral: Biohazard The Stage (2015)', 'Biohazard / Resident Evil Vendetta (2017)', 'Biohazard / Resident Evil: Death Island (2023)'];https://www.residentevildatabase.com/rebecca-chambers/;
1974 (não confirmado).;Desconhecido;1,80cm;85kg;['Biohazard / Resident Evil 5 (2009)'];https://www.residentevildatabase.com/reynard-fisher/;
desconhecido, em torno de 30 anos.;desconhecido;1,80cm;75kg;['Biohazard / Resident Evil 5 (2009)'];https://www.residentevildatabase.com/ricardo-irving/;
1975 (não confirmado);AB;1,72cm;62,5kg;['Biohazard / Resident Evil Clássico (1996)', 'Biohazard / Resident Evil Remake (2002)', 'Biohazard / Resident Evil 0 (2003)', 'Biohazard / Resident Evil: Deadly Silence (2006)', 'Biohazard / Resident Evil: The Umbrella Chronicles (2007)'];https://www.residentevildatabase.com/richard-aiken/;
1958 (não confirmado);AB;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 2 (1998)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard RE:2 / Resident Evil 2 (2019)', 'Biohazard RE:3 / Resident Evil 3 (2020)'];https://www.residentevildatabase.com/robert-kendo/;
1966;Desconhecido.;1,78m;75kg;['Biohazard / Resident Evil CODE: Veronica (2000)', 'Biohazard Gun Survivor 2 / Resident Evil Survivor 2 (2001)'];https://www.residentevildatabase.com/rodrigo-juan-raval/;
1949 (56 anos em 2005);Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: Degeneration (2008)'];https://www.residentevildatabase.com/ron-davis-senador/;
2020;Desconhecido.; Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/rosemary-winters/;
Desconhecido.;Desconhecido.; Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/salvatore-moreau/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: The Umbrella Chronicles (2007)'];https://www.residentevildatabase.com/sergei-vladimir/;
Desconhecido.;Desconhecido.; Desconhecido.;Desconhecido.;['BIOHAZARD\xa0/\xa0RESIDENT EVIL: Infinite Darkness (2021)'];https://www.residentevildatabase.com/shen-may/;
1986 (não confirmado);O;desconhecida.;desconhecido.;['Biohazard / Resident Evil 2 (1998)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard / Resident Evil: Operation Raccoon City (2012)', 'Biohazard / Resident Evil 6 (2012)'];https://www.residentevildatabase.com/sherry-birkin/;
1985 (não confirmado);AB+;1,65cm;52kg;['Biohazard / Resident Evil 5 (2009)'];https://www.residentevildatabase.com/sheva-alomar/;
desconhecido.;desconhecido.;desconhecida.;desconhecido.;['Biohazard / Resident Evil: Operation Raccoon City (2012)'];https://www.residentevildatabase.com/shona-lawrence-kimbala/;
1964 (não confirmado);AB-;desconhecida.;desconhecido.;['Biohazard / Resident Evil: Operation Raccoon City (2012)'];https://www.residentevildatabase.com/spectre-vladimir-bodrofski/;
1981 (não confirmado);AB;1,73cm;67,5kg;['Biohazard / Resident Evil CODE: Veronica (2000)', 'Biohazard Gun Survivor 2 / Resident Evil Survivor 2 (2001)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)'];https://www.residentevildatabase.com/steve-burnside/;
Desconhecido.; Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: Damnation (2012) – Filme em CG'];https://www.residentevildatabase.com/svetlana-belikova/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: Operation Raccoon City (2012)'];https://www.residentevildatabase.com/tweed-marissa-ronson/;
;;;;['Biohazard 3: Last Escape / Resident Evil 3: Nemesis (1999)', 'Biohazard RE:3 / Resident Evil 3 (2020)'];https://www.residentevildatabase.com/tyrell-patrick/;
Desconhecido.;O+;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: Operation Raccoon City (2012)'];https://www.residentevildatabase.com/vector/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil CODE: Veronica (2000)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)'];https://www.residentevildatabase.com/veronica-ashford/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard Gun Survivor / Resident Evil Survivor (2000)'];https://www.residentevildatabase.com/vincent-goldman/;
1962 (não confirmado).;O;1,78cm;66,7kg;['Biohazard / Resident Evil 0 (2003)', 'Biohazard / Resident Evil 2 (1998)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard / Resident Evil: Operation Raccoon City (2012)', 'Biohazard RE:2 / Resident Evil 2 (2019)'];https://www.residentevildatabase.com/william-birkin/;
desconhecido.;desconhecido.;desconhecida.;desconhecido.;['Biohazard / Resident Evil: Operation Raccoon City (2012)'];https://www.residentevildatabase.com/willow-caroline-floyd/;
Desconhecido.;Desconhecido.; Desconhecido.;Desconhecido.;['BIOHAZARD\xa0/\xa0RESIDENT EVIL: Infinite Darkness (2021)'];https://www.residentevildatabase.com/wilson-secretario-seguranca/;
1978 (20 anos em 1998);Desconhecido.;1,63m;58kg;['Biohazard / Resident Evil Outbreak (2003)', 'Biohazard / Resident Evil Outbreak File #2 (2004)'];https://www.residentevildatabase.com/yoko-suzuki/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 7 (2017)'];https://www.residentevildatabase.com/zoe-baker/;
